Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
207,NYG,"Darius Slayton",WR,17,175.11,14,0%,77%,104.5,90,116,232.2,0
208,ATL,"Zachariah Branch",WR,17,18.07,5,0%,0%,96.6,65,112,244.7,0
209,SF,"San Francisco 49ers",DEF,17,23.03,14,0%,0%,102,67,102,102,0
210,NYG,"Tyrone Tracy Jr.",RB,17,13.10,14,0%,69%,97.9,106,108,247.5,-0.2
211,JAC,"Travis Hunter",WR,17,15.11,8,0%,44%,87.4,128,95,280.3,-0.5
212,MIN,"T.J. Hockenson",TE,17,13.03,6,0%,57%,134.9,146,147,190.7,-0.7
213,NE,"Kayshon Boutte",WR,17,16.08,14,0%,0%,103.7,93,115,225.9,-0.8
214,HOU,"Dalton Schultz",TE,17,10.10,6,0%,82%,137.2,129,149,183.4,-0.9
215,KC,"Kansas City Chiefs",DEF,17,24.04,10,0%,0%,102.7,70,103,102.7,-1.1
216,PIT,"Chris Boswell",K,17,348.01,5,0%,0%,142.9,141,146,170.6,-1.3
217,DAL,"Ryan Flournoy",WR,17,20.06,10,0%,0%,98,70,115,224.8,-1.3
218,BAL,"Rashod Bateman",WR,17,21.01,7,0%,43%,97.5,117,111,232.8,-1.5
219,CHI,"Chicago Bears",DEF,17,25.02,5,0%,0%,102.9,70,103,102.9,-1.8
220,NE,"Andres Borregales",K,17,434.12,14,0%,0%,141.8,147,146,168.1,-2
221,DEN,"Pat Bryant",WR,17,17.03,12,0%,0%,95.2,78,107,229.9,-2.7
222,SF,"De'Zhaun Stribling",WR,17,22.04,14,0%,0%,91.3,,103,241,-2.7
223,SEA,"Jason Myers",K,17,326.09,8,0%,0%,142.3,161,145,167,-2.9
224,DET,"Detroit Lions",DEF,17,24.09,8,0%,0%,102.3,71,102,102.3,-3.2
225,TB,"Chase McLaughlin",K,17,146.10,9,0%,0%,140.2,144,145,167.6,-3.6
226,WAS,"Chigoziem Okonkwo",TE,17,14.05,12,0%,34%,131.3,124,135,196.2,-3.7
227,NO,"Devaughn Vele",WR,17,21.08,11,0%,0%,97.5,72,113,204.1,-3.8
228,TB,"Tampa Bay Buccaneers",DEF,17,23.02,9,0%,0%,97.4,68,97,97.4,-4
229,NYG,"New York Giants",DEF,17,23.08,14,0%,0%,101.3,86,101,101.3,-4.1
230,PHI,"Philadelphia Eagles",DEF,17,23.06,9,0%,0%,101.2,76,101,101.2,-4.2
231,MIN,"Will Reichard",K,17,483.07,6,0%,0%,139.9,141,143,168.5,-4.3
232,WAS,"Kaytron Allen",RB,17,18.01,12,0%,0%,81.3,56,88,251.9,-4.3
233,PHI,"Jake Elliott",K,17,277.08,9,0%,0%,140.2,136,145,164.7,-4.4
234,KC,"Tyquan Thornton",WR,17,66.03,10,0%,35%,87.1,40,101,227.8,-4.5
235,PHI,"Dontayvion Wicks",WR,17,27.12,9,0%,64%,88,60,100,229.9,-4.5
236,LAC,"Keaton Mitchell",RB,17,17.06,12,0%,15%,89.7,69,100,214.2,-5.2
237,DEN,"Troy Franklin",WR,17,17.02,12,0%,56%,86.9,81,97,226.9,-5.6
238,BUF,"Keon Coleman",WR,17,21.03,7,0%,85%,81.6,89,96,230.5,-5.6
239,BUF,"Tyler Bass",K,17,129.05,7,0%,0%,138.5,141,143,164.2,-5.9
240,WAS,"Jake Moody",K,17,526.01,12,0%,0%,138.3,134,141,167.9,-5.9
241,ARI,"Tyler Allgeier",RB,17,12.02,8,0%,37%,83.3,85,102,200,-6.5
242,ATL,"Brian Robinson Jr.",RB,17,11.02,5,0%,37%,82.5,87,101,201.3,-6.5
243,ARI,"Kendrick Bourne",WR,17,265.02,8,0%,43%,85.2,44,100,210.6,-6.6
244,CLE,"Cleveland Browns",DEF,17,24.12,9,0%,0%,95.4,68,95,95.4,-6.6
245,SEA,"Tory Horton",WR,17,20.07,8,0%,84%,82.3,83,96,220.1,-6.7
246,TB,"Cade Otton",TE,17,15.04,9,0%,69%,129.1,114,134,178.8,-6.8
247,MIA,"Malik Washington",WR,17,486.08,12,0%,0%,89.8,83,96,215,-6.8
248,BAL,"Ja'Kobi Lane",WR,17,18.02,7,0%,0%,81.2,74,92,226.2,-6.9
249,IND,"Indianapolis Colts",DEF,17,24.06,11,0%,0%,93.7,68,94,93.7,-7.2
250,DET,"Isaac TeSlaa",WR,17,18.03,8,0%,0%,81.8,88,93,218.5,-7.5
251,CAR,"Chris Brazzell II",WR,17,20.10,14,0%,0%,77.8,68,88,229.8,-7.5
252,HOU,"Nathaniel Dell",WR,17,18.08,6,0%,15%,60.8,66,87,243.2,-7.6
253,BAL,"Justice Hill",RB,17,184.03,7,0%,36%,89,82,96,191.4,-7.9
254,TEN,"Tennessee Titans",DEF,17,23.01,10,0%,0%,94.9,62,95,94.9,-7.9
255,NO,"New Orleans Saints",DEF,17,23.09,11,0%,0%,91.6,57,92,91.6,-8.1
256,BAL,"Elijah Sarratt",WR,17,20.09,7,0%,0%,78.3,71,87,226.3,-8.1
257,NYG,"Jason Sanders",K,17,232.02,14,0%,0%,136.6,131,139,164.5,-8.4
258,PIT,"Pat Freiermuth",TE,17,95.11,5,0%,46%,116.4,121,129,186.3,-8.4
259,ATL,"Jahan Dotson",WR,17,69.11,5,0%,20%,82.3,49,96,201,-8.6
260,DEN,"Marvin Mims Jr.",WR,17,19.09,12,0%,45%,85.4,94,95,201.1,-8.6
261,DAL,"Dallas Cowboys",DEF,17,24.11,10,0%,0%,93.1,68,93,93.1,-8.6
262,DAL,"KaVontae Turpin",WR,17,30.04,10,0%,0%,84.3,65,95,198.8,-8.9
263,BUF,"Joshua Palmer",WR,17,93.11,7,0%,74%,81.5,85,89,212.5,-9
264,DEN,"Jonah Coleman",RB,17,14.08,12,0%,0%,68.8,45,78,226.8,-9.1
265,TEN,"Gunnar Helm",TE,17,15.08,10,0%,0%,119.2,98,127,182.6,-9.5
266,CAR,"Ryan Fitzgerald",K,17,418.05,14,0%,0%,133.8,,139,161.7,-9.7
267,SEA,"AJ Barner",TE,17,12.10,8,0%,36%,119.2,102,123,188.1,-9.8
268,KC,"Emmett Johnson",RB,17,14.01,10,0%,0%,65.3,37,78,221.6,-9.8
269,CIN,"Evan McPherson",K,17,86.12,10,0%,0%,135,149,136,166.4,-9.9
270,CIN,"Andrei Iosivas",WR,17,529.05,10,0%,14%,80.2,84,89,200.6,-10.1
271,ARI,"Arizona Cardinals",DEF,17,25.07,8,0%,0%,93.1,64,93,93.1,-10.3
272,ATL,"Olamide Zaccheaus",WR,17,168.04,5,0%,19%,77.6,61,90,194.8,-10.7
273,MIA,"Chris Bell",WR,15,20.12,12,0%,0%,63.3,107,74,234.4,-10.8
274,SF,"Christian Kirk",WR,17,21.10,14,0%,94%,75,94,85,204.5,-10.9
275,UNS,"Joe Mixon",RB,17,18.06,18,-,67%,52.5,28,88,197,-11
276,CAR,"Carolina Panthers",DEF,17,25.03,14,0%,0%,91.1,73,91,91.1,-11.2
277,MIA,"Miami Dolphins",DEF,17,23.12,12,0%,0%,90.8,59,91,90.8,-11.4
278,ATL,"Nick Folk",K,17,155.01,5,0%,0%,133.3,141,136,161.8,-11.8
