Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
132,UNS,"Brandon Aiyuk",WR,17,17.07,18,-,44%,132.2,145,174,259.1,14.8
133,CLE,"Shedeur Sanders",QB,7,14.06,9,0%,18%,90.3,98,95,190.1,14.8
134,SEA,"Jadarian Price",RB,17,12.11,8,0%,0%,141.4,173,164,286.1,14.7
135,DEN,"J.K. Dobbins",RB,17,10.07,12,0%,47%,146.6,154,171,269.4,14.6
136,BUF,"Khalil Shakir",WR,17,12.07,7,0%,88%,152.7,164,174,243,14.5
137,DAL,"Brandon Aubrey",K,17,490.06,10,0%,6%,157.4,172,177,190.9,14.3
138,ARI,"Carson Beck",QB,4,22.11,8,0%,0%,53.1,,55,112.2,12.9
139,LAC,"Oronde Gadsden II",TE,17,9.10,12,0%,0%,167.3,164,182,252.8,12.6
140,WAS,"Rachaad White",RB,17,15.01,12,0%,86%,120.5,147,163,272,11.9
141,LVR,"Kirk Cousins",QB,4,20.08,8,0%,9%,52,31,53,106.2,11.7
142,GB,"Matthew Golden",WR,17,16.02,5,0%,91%,135.6,155,156,263.4,11.7
143,JAC,"Brenton Strange",TE,17,11.04,8,0%,39%,169.4,174,186,234.5,11.2
144,NE,"Hunter Henry",TE,17,10.05,14,0%,64%,170.5,174,185,235.3,11.2
145,NO,"Juwan Johnson",TE,17,11.03,11,0%,79%,170.5,168,185,235.3,11.2
146,TEN,"Calvin Ridley",WR,17,17.12,10,0%,65%,137.1,140,159,248.8,11.1
147,NYJ,"Kenyon Sadiq",TE,17,11.08,9,0%,0%,164.8,159,175,257.8,11
148,UNS,"Deebo Samuel",WR,17,15.05,18,-,95%,131.2,142,164,237.9,10.6
149,LAC,"Cameron Dicker",K,17,61.01,12,0%,6%,150.9,160,170,181.4,10.4
150,NYJ,"Omar Cooper Jr.",WR,17,15.06,9,0%,0%,134.8,133,148,263.7,10.2
151,TB,"Jalen McMillan",WR,17,16.10,9,0%,52%,130.4,99,152,257.8,10
152,DEN,"Denver Broncos",DEF,17,24.10,12,0%,0%,119.8,88,120,119.8,9.3
153,CHI,"Kyle Monangai",RB,17,9.04,5,0%,0%,135.8,132,149,256.6,9
154,CLE,"Denzel Boston",WR,17,15.09,9,0%,0%,124.8,128,145,261.3,8.7
155,NE,"New England Patriots",DEF,17,23.10,14,0%,0%,114.7,77,115,114.7,8.4
156,MIN,"Aaron Jones",RB,17,11.10,6,0%,65%,120.6,164,155,248.9,8.3
157,SEA,"Rashid Shaheed",WR,17,16.06,8,0%,82%,132.7,135,147,247.6,8.3
158,HOU,"Houston Texans",DEF,17,24.07,6,0%,0%,117.4,88,117,117.4,8.3
159,SEA,"Seattle Seahawks",DEF,17,23.04,8,0%,0%,117.4,77,117,117.4,8.3
160,UNS,"Keenan Allen",WR,17,21.02,18,-,94%,115.1,126,156,241.1,8.1
161,TB,"Kenneth Gainwell",RB,17,11.11,9,0%,52%,132.4,135,152,241.9,8
162,TEN,"Tyjae Spears",RB,17,14.12,10,0%,44%,132.5,123,152,240.7,7.9
163,MIN,"Jordan Mason",RB,17,13.11,6,0%,88%,126.6,127,149,247.2,7.5
164,MIN,"T.J. Hockenson",TE,17,13.03,6,0%,57%,163.8,179,178,231.4,7.2
165,NYG,"Isaiah Likely",TE,17,11.12,14,0%,16%,163.7,168,172,241.2,6.9
166,HOU,"Ka'imi Fairbairn",K,17,303.02,6,0%,0%,148.6,157,160,177.4,6.9
167,CAR,"Jalen Coker",WR,17,13.09,14,0%,6%,130.2,129,145,241.6,6.9
168,HOU,"Dalton Schultz",TE,17,10.10,6,0%,82%,166.1,157,181,222.1,6.7
169,UNS,"Tyreek Hill",WR,10,15.03,18,-,41%,78.9,149,144,275.5,6.7
170,LAR,"Blake Corum",RB,17,9.12,8,0%,32%,127.7,120,134,262.2,6.3
171,GB,"Green Bay Packers",DEF,17,24.08,5,0%,0%,113.4,80,113,113.4,6
172,CAR,"Jonathon Brooks",RB,17,17.01,14,0%,44%,107.9,67,127,284.5,5.8
173,CLE,"Jerry Jeudy",WR,17,16.03,9,0%,55%,118.3,150,138,247.5,5.3
174,JAC,"Cam Little",K,17,483.09,8,0%,0%,146.9,146,153,180.5,5.2
175,MIN,"Jauan Jennings",WR,17,12.09,6,0%,85%,116,147,132,257.1,5
