"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"157",11,"D'Angelo Ponds",NYJ,"CB8","123","123","123.0","0.0","-"
"158",11,"Drue Tranquill",KC,"LB72","124","124","124.0","0.0","-"
"159",11,"Pete Werner",NO,"LB73","126","126","126.0","0.0","-"
"160",11,"Divine Deablo",ATL,"LB74","127","127","127.0","0.0","-"
"161",11,"Dru Phillips",NYG,"CB9","128","128","128.0","0.0","-"
"162",11,"Kool-Aid McKinstry",NO,"CB10","130","130","130.0","0.0","-"
"163",11,"Mike Sainristil",WAS,"CB11","131","131","131.0","0.0","-"
"164",11,"Denzel Perryman",LAC,"LB75","132","132","132.0","0.0","-"
"165",11,"Christian Elliss",NE,"DE31","133","133","133.0","0.0","-"
"166",11,"Uchenna Nwosu",SEA,"LB76","134","134","134.0","0.0","-"
"167",11,"Alex Wright",CLE,"DE32","135","135","135.0","0.0","-"
"168",11,"Derrick Brown",CAR,"DT11","136","136","136.0","0.0","-"
"169",11,"Chris Jones",KC,"DT12","137","137","137.0","0.0","-"
"170",11,"Rashan Gary",DAL,"LB77","138","138","138.0","0.0","-"
"171",11,"K'Lavon Chaisson",WAS,"DE33","139","139","139.0","0.0","-"
"172",11,"Jalen Redmond",MIN,"DE34","140","140","140.0","0.0","-"
"173",11,"Byron Murphy II",SEA,"DT13","141","141","141.0","0.0","-"
"174",11,"Kobie Turner",LAR,"DT14","142","142","142.0","0.0","-"
"175",11,"Jacob Rodriguez",MIA,"LB78","144","144","144.0","0.0","-"
"176",11,"Henry To'oTo'o",HOU,"LB79","145","145","145.0","0.0","-"
"177",11,"Barrett Carter",CIN,"LB80","146","146","146.0","0.0","-"
"178",11,"Trevin Wallace",CAR,"LB81","147","147","147.0","0.0","-"
"179",11,"Derrick Barnes",DET,"LB82","148","148","148.0","0.0","-"
"180",11,"Tyson Campbell",CLE,"CB12","149","149","149.0","0.0","-"
"181",11,"DaRon Bland",DAL,"CB13","150","150","150.0","0.0","-"
