"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"319",15,"Darnell Washington",PIT,"TE45","274","307","291.5","11.2","-"
"320",15,"Eli Heidenreich",PIT,"RB105","261","321","283.6","22.4","-"
"321",15,"Jalen Tolbert",MIA,"WR130","257","327","286.0","23.8","-"
"322",15,"Raheim Sanders",CLE,"RB106","270","338","296.2","24.2","-"
"323",15,"Elijah Arroyo",SEA,"TE46","249","326","289.2","30.6","-"
"324",15,"Jaylin Lane",WAS,"WR131","266","325","299.0","22.1","-"
"325",15,"DeMario Douglas",NE,"WR132","267","330","299.3","22.4","-"
"326",15,"Tutu Atwell",MIA,"WR133","181","335","282.0","61.9","-"
"327",15,"Ja'Tavion Sanders",CAR,"TE47","262","334","294.2","26.3","-"
"328",15,"Jawhar Jordan",HOU,"RB107","275","329","294.2","19.7","-"
"329",15,"Cyrus Allen",KC,"WR134","192","328","282.5","53.1","-"
"330",15,"Michael Mayer",LV,"TE48","242","330","296.8","34.3","-"
"331",15,"Darren Waller",FA,"TE49","275","315","296.8","15.2","-"
"332",15,"KaVontae Turpin",DAL,"WR135","239","344","286.8","39.8","-"
"333",15,"Dameon Pierce",PHI,"RB108","276","332","299.8","22.6","-"
"334",15,"Carson Beck",ARI,"QB42","184","301","242.5","58.5","-"
"335",15,"Luke Musgrave",GB,"TE50","249","337","303.6","30.7","-"
"336",15,"Terrell Jennings",NE,"RB109","275","331","295.0","22.5","-"
"337",15,"Antonio Gibson",FA,"RB110","277","333","296.5","22.7","-"
"338",15,"Cole Kmet",CHI,"TE51","264","336","306.2","24.3","-"
"339",15,"Zach Ertz",FA,"TE52","273","328","299.8","25.8","-"
"340",15,"Nick Westbrook-Ikhine",IND,"WR136","195","362","296.0","72.5","-"
"341",15,"Noah Fant",NO,"TE53","289","347","311.6","19.4","-"
"342",15,"Ben Sinnott",WAS,"TE54","272","320","303.3","18.5","-"
"343",15,"Dyami Brown",WAS,"WR137","197","197","197.0","0.0","-"
"344",15,"Tai Felton",MIN,"WR138","244","301","272.5","28.5","-"
"345",15,"Kendrick Bourne",ARI,"WR139","245","350","310.5","39.3","-"
"346",15,"Dawson Knox",BUF,"TE55","289","339","315.4","16.0","-"
"347",15,"Daniel Bellinger",TEN,"TE56","246","349","305.3","43.5","-"
"348",15,"Mitchell Evans",CAR,"TE57","231","356","293.5","62.5","-"
"349",15,"Kalif Raymond",CHI,"WR140","234","358","296.0","62.0","-"
"350",15,"CJ Daniels",LAR,"WR141","269","354","320.0","31.3","-"
"351",15,"Mitch Tinsley",CIN,"WR142","260","260","260.0","0.0","-"
"352",15,"Jordan Whittington",LAR,"WR143","265","360","312.5","47.5","-"
"353",15,"Eli Raridon",NE,"TE58","295","348","324.8","19.8","-"
"354",15,"Roschon Johnson",CHI,"RB111","271","271","271.0","0.0","-"
"355",15,"Jonnu Smith",FA,"TE59","286","342","318.3","23.7","-"
"356",15,"Damien Martinez",GB,"RB112","300","316","308.0","8.0","-"
"357",15,"Zavion Thomas",CHI,"WR144","293","351","327.5","21.8","-"
"358",15,"Rasheen Ali",BAL,"RB113","280","280","280.0","0.0","-"
"359",15,"Deion Burks",IND,"WR145","292","353","325.0","25.1","-"
"360",15,"Jam Miller",NE,"RB114","283","283","283.0","0.0","-"
"361",15,"Phil Mafah",DAL,"RB115","291","343","317.0","26.0","-"
"362",15,"Zavier Scott",MIN,"RB116","293","293","293.0","0.0","-"
"363",15,"J'Mari Taylor",JAC,"RB117","293","293","293.0","0.0","-"
"364",15,"Jameis Winston",NYG,"QB43","296","296","296.0","0.0","-"
"365",15,"Elijah Higgins",ARI,"TE60","302","340","326.7","17.5","-"
"366",15,"Joe Flacco",CIN,"QB44","298","298","298.0","0.0","-"
"367",15,"Kyle Juszczyk",SF,"RB118","299","299","299.0","0.0","-"
"368",15,"Gardner Minshew II",ARI,"QB45","299","299","299.0","0.0","-"
"369",15,"Roman Wilson",PIT,"WR146","302","363","332.5","30.5","-"
"370",15,"Riley Leonard",IND,"QB46","303","303","303.0","0.0","-"
"371",15,"Sam Roush",CHI,"TE61","303","346","324.5","21.5","-"
"372",15,"Jackson Hawes",BUF,"TE62","306","365","335.5","29.5","-"
"373",15,"Greg Dortch",DET,"WR147","307","364","335.5","28.5","-"
"374",15,"Devontez Walker",BAL,"WR148","308","345","326.5","18.5","-"
"375",15,"Tommy Tremble",CAR,"TE63","309","359","334.0","25.0","-"
"376",15,"Durham Smythe",BAL,"TE64","312","312","312.0","0.0","-"
"377",15,"Austin Hooper",ATL,"TE65","316","316","316.0","0.0","-"
"378",15,"Demarcus Robinson",SF,"WR149","328","332","330.0","2.0","-"
"379",15,"Charlie Kolar",LAC,"TE66","318","361","339.5","21.5","-"
"380",15,"Malik Benson",LV,"WR150","329","352","338.3","9.9","-"
"381",15,"Robert Henry Jr.",WAS,"RB119","322","322","322.0","0.0","-"
"382",15,"Marlin Klein",HOU,"TE67","329","329","329.0","0.0","-"
"383",15,"Dylan Laube",LV,"RB120","334","334","334.0","0.0","-"
"384",15,"Erick All Jr.",CIN,"TE68","339","339","339.0","0.0","-"
"385",15,"Michael Trigg",DAL,"TE69","355","355","355.0","0.0","-"
"386",15,"DeAndre Hopkins",BAL,"WR151","357","357","357.0","0.0","-"
