"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"265",13,"Justice Hill",BAL,"RB87","216","275","254.2","16.6","-"
"266",13,"Mike Gesicki",CIN,"TE37","202","275","246.8","16.8","-"
"267",13,"Emari Demercado",KC,"RB88","218","281","252.7","19.8","-"
"268",13,"Devaughn Vele",NO,"WR107","230","291","254.6","14.7","-"
"269",13,"Samaje Perine",CIN,"RB89","179","296","261.5","25.0","-"
"270",13,"Tyquan Thornton",KC,"WR108","180","326","251.1","26.2","-"
"271",13,"Seth McGowan",IND,"RB90","239","294","270.7","14.0","-"
"272",13,"J.J. McCarthy",MIN,"QB37","76","278","160.0","51.5","-"
"273",13,"Jerome Ford",WAS,"RB91","226","292","260.7","19.9","-"
"274",13,"Hollywood Brown",PHI,"WR109","235","305","261.7","14.9","-"
"275",13,"Jaleel McLaughlin",DEN,"RB92","204","287","261.2","18.6","-"
"276",13,"Isaiah Bond",CLE,"WR110","218","320","255.1","23.4","-"
"277",13,"LeQuint Allen Jr.",JAC,"RB93","220","318","273.4","17.4","-"
"278",13,"Audric Estime",NO,"RB94","222","290","263.7","20.0","-"
"279",13,"Jarquez Hunter",LAR,"RB95","230","322","271.9","21.0","-"
"280",13,"Greg Dulcich",MIA,"TE38","186","267","225.5","24.8","-"
"281",13,"Trevor Etienne",CAR,"RB96","247","304","273.8","15.1","-"
"282",14,"Kareem Hunt",FA,"RB97","245","293","268.1","14.0","-"
"283",14,"Andrei Iosivas",CIN,"WR111","221","288","257.4","19.4","-"
"284",14,"Tahj Brooks",CIN,"RB98","258","343","281.0","16.6","-"
"285",14,"Cedric Tillman",CLE,"WR112","248","337","275.2","23.0","-"
"286",14,"Luke McCaffrey",WAS,"WR113","232","295","259.6","15.9","-"
"287",14,"Mac Jones",SF,"QB38","127","282","186.7","38.0","-"
"288",14,"Konata Mumpfield",LAR,"WR114","231","307","262.4","20.3","-"
"289",14,"Oscar Delp",NO,"TE39","267","332","298.6","20.9","-"
"290",14,"Bam Knight",ARI,"RB99","226","317","272.9","21.3","-"
"291",14,"Calvin Austin III",NYG,"WR115","236","332","269.1","24.6","-"
"292",14,"Kaelon Black",SF,"RB100","171","272","220.7","30.3","-"
"293",14,"Tez Johnson",TB,"WR116","245","326","267.5","19.8","-"
"294",14,"Will Shipley",PHI,"RB101","274","323","288.3","13.0","-"
"295",14,"Jalen Royals",KC,"WR117","256","307","273.6","14.2","-"
"296",14,"Nick Chubb",FA,"RB102","261","301","280.4","9.7","-"
"297",14,"Jahan Dotson",ATL,"WR118","188","294","263.1","27.8","-"
"298",14,"Tyler Higbee",LAR,"TE40","226","292","267.5","22.7","-"
"299",14,"Justin Fields",KC,"QB39","86","185","157.5","41.4","-"
"300",14,"Darnell Washington",PIT,"TE41","236","306","275.6","21.9","-"
"301",14,"Michael Carter",TEN,"RB103","265","300","282.4","11.2","-"
"302",14,"Austin Ekeler",FA,"RB104","273","295","282.6","7.0","-"
"303",14,"Noah Gray",KC,"TE42","250","320","287.6","21.1","-"
"304",14,"Caleb Douglas",MIA,"WR119","219","310","271.1","30.6","-"
"305",14,"Dont'e Thornton Jr.",LV,"WR120","255","311","273.3","18.2","-"
"306",14,"Anthony Richardson Sr.",IND,"QB40","177","284","205.3","45.5","-"
"307",14,"Eli Heidenreich",PIT,"RB105","235","294","265.7","20.1","-"
"308",14,"Justin Joly",DEN,"TE43","215","318","267.9","36.1","-"
"309",14,"Elijah Arroyo",SEA,"TE44","249","312","278.8","24.1","-"
"310",14,"Tommy Myers",FA,"TE45","211","298","247.0","33.2","-"
"311",14,"Bryce Lance",NO,"WR121","243","302","274.9","21.6","-"
"312",14,"Darren Waller",FA,"TE46","246","312","276.0","22.1","-"
"313",14,"Brenen Thompson",LAC,"WR122","236","310","276.7","24.6","-"
"314",14,"Joshua Palmer",BUF,"WR123","261","328","285.3","20.7","-"
"315",14,"Xavier Hutchinson",HOU,"WR124","257","331","289.5","23.1","-"
"316",14,"DeMario Douglas",NE,"WR125","264","333","295.4","22.9","-"
"317",14,"Jalen Tolbert",MIA,"WR126","246","342","285.4","28.3","-"
"318",14,"John Bates",WAS,"TE47","240","303","266.0","20.6","-"
"319",15,"Jaylin Lane",WAS,"WR127","259","330","295.3","23.2","-"
"320",15,"Olamide Zaccheaus",ATL,"WR128","269","330","301.0","18.9","-"
"321",15,"Treylon Burks",WAS,"WR129","188","310","268.4","49.1","-"
"322",15,"Raheim Sanders",CLE,"RB106","251","318","289.7","21.7","-"
"323",15,"Savion Williams",GB,"WR130","269","295","283.3","9.3","-"
"324",15,"Tutu Atwell",MIA,"WR131","192","341","273.0","49.7","-"
"325",15,"John Metchie III",CAR,"WR132","267","328","293.1","23.9","-"
"326",15,"Joe Milton III",DAL,"QB41","183","183","183.0","0.0","-"
"327",15,"Ben Sinnott",WAS,"TE48","272","320","292.0","17.4","-"
"328",15,"Jawhar Jordan",HOU,"RB107","278","317","292.8","13.3","-"
"329",15,"Antonio Gibson",FA,"RB108","274","299","284.4","9.1","-"
"330",15,"Carson Beck",ARI,"QB42","183","223","203.0","20.0","-"
"331",15,"Ja'Tavion Sanders",CAR,"TE49","269","329","296.0","21.4","-"
"332",15,"KaVontae Turpin",DAL,"WR133","224","336","277.5","45.0","-"
"333",15,"Dameon Pierce",PHI,"RB109","274","314","291.2","15.8","-"
"334",15,"CJ Daniels",LAR,"WR134","266","326","292.0","27.0","-"
"335",15,"Terrell Jennings",NE,"RB110","270","288","280.3","7.6","-"
"336",15,"Kevin Coleman Jr.",MIA,"WR135","260","328","296.2","28.3","-"
"337",15,"Michael Mayer",LV,"TE50","279","333","305.0","20.0","-"
"338",15,"Cyrus Allen",KC,"WR136","219","322","289.0","40.9","-"
"339",15,"Kendrick Bourne",ARI,"WR137","274","331","299.6","24.3","-"
"340",15,"Kalif Raymond",CHI,"WR138","242","296","275.3","23.8","-"
"341",15,"Cole Kmet",CHI,"TE51","264","319","302.6","20.8","-"
