Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
149,JAC,"Chris Rodriguez",RB,17,16.07,8,0%,17%,97.5,94,111,260.5,8.1
150,BUF,"Khalil Shakir",WR,17,12.04,7,0%,88%,152.7,164,174,243,7.8
151,NO,"Alvin Kamara",RB,17,13.08,11,0%,93%,100.5,111,112,251.3,7.7
152,MIN,"T.J. Hockenson",TE,17,12.09,6,0%,57%,163.8,179,178,231.4,7.5
153,NYG,"Isaiah Likely",TE,17,9.06,14,0%,16%,163.7,168,172,241.2,7.2
154,TEN,"Cameron Ward",QB,17,20.01,10,0%,26%,256.4,241,262,397.7,7.1
155,HOU,"Dalton Schultz",TE,17,12.11,6,0%,82%,166.1,157,181,222.1,7
156,HOU,"Ka'imi Fairbairn",K,17,15.12,6,0%,0%,148.6,157,160,177.4,6.9
157,NYG,"Tyrone Tracy Jr.",RB,17,12.08,14,0%,69%,97.9,106,108,247.5,6.9
158,SEA,"Sam Darnold",QB,17,17.09,8,0%,25%,258.1,252,261,391.1,6.3
159,GB,"Green Bay Packers",DEF,17,20.03,5,0%,0%,113.4,80,113,113.4,6
160,PIT,"Aaron Rodgers",QB,17,25.08,5,0%,39%,254.3,196,259,386.6,5.4
161,JAC,"Cam Little",K,17,16.06,8,0%,0%,146.9,146,153,180.5,5.2
162,BAL,"Tyler Loop",K,17,18.01,7,0%,0%,143.6,149,153,178.8,4.6
163,BUF,"Buffalo Bills",DEF,17,23.05,7,0%,0%,107.2,76,107,107.2,4.6
164,GB,"Matthew Golden",WR,17,13.01,5,0%,91%,135.6,155,156,263.4,4.1
165,WAS,"Kaytron Allen",RB,17,16.02,12,0%,0%,81.3,56,88,251.9,4
166,BAL,"Baltimore Ravens",DEF,17,17.11,7,0%,0%,107.3,95,107,107.3,3.7
167,JAC,"Jacksonville Jaguars",DEF,17,16.12,8,0%,0%,105.3,72,105,105.3,3.7
168,LAC,"Keaton Mitchell",RB,17,14.12,12,0%,15%,89.7,69,100,214.2,3.4
169,TEN,"Calvin Ridley",WR,17,19.02,10,0%,65%,137.1,140,159,248.8,3.3
170,LAR,"Los Angeles Rams",DEF,17,16.09,8,0%,0%,106.8,77,107,106.8,3.3
171,MIN,"Minnesota Vikings",DEF,17,17.06,6,0%,0%,109.7,78,110,109.7,3.2
172,DET,"Jake Bates",K,17,19.03,8,0%,6%,146.6,150,150,175,3.1
173,CHI,"Cairo Santos",K,17,24.02,5,0%,0%,142.2,145,151,174,2.9
174,SF,"Eddy Pineiro",K,17,18.10,14,0%,0%,143.7,132,151,172.5,2.8
175,LAR,"Harrison Mevis",K,17,19.11,8,0%,0%,145.1,137,150,175,2.8
176,UNS,"Deebo Samuel",WR,17,15.09,18,-,95%,131.2,142,164,237.9,2.5
177,GB,"Trey Smack",K,17,28.12,5,0%,0%,143.6,,150,175,2.5
178,ARI,"Tyler Allgeier",RB,17,8.12,8,0%,37%,83.3,85,102,200,2.5
179,ATL,"Brian Robinson Jr.",RB,17,16.05,5,0%,37%,82.5,87,101,201.3,2.5
180,WAS,"Chigoziem Okonkwo",TE,17,14.10,12,0%,34%,157.6,150,163,235.7,2.2
181,PIT,"Pittsburgh Steelers",DEF,17,17.12,5,0%,0%,105.5,78,106,105.5,2.2
182,NYJ,"Omar Cooper Jr.",WR,17,15.03,9,0%,0%,134.8,133,148,263.7,2
183,TB,"Jalen McMillan",WR,17,13.12,9,0%,52%,130.4,99,152,257.8,1.7
184,ARI,"Jacoby Brissett",QB,13,22.03,8,0%,6%,235.8,212,248,384.8,1.6
185,BAL,"Justice Hill",RB,17,23.12,7,0%,36%,89,82,96,191.4,1.5
186,CAR,"Bryce Young",QB,17,22.02,14,0%,20%,240.1,236,243,390.5,1.3
187,DEN,"Wil Lutz",K,17,23.03,12,0%,0%,144.9,145,148,171.6,0.7
188,LAC,"Los Angeles Chargers",DEF,17,18.05,12,0%,0%,103.8,70,104,103.8,0.7
189,DEN,"Jonah Coleman",RB,17,9.10,12,0%,0%,68.8,45,78,226.8,0.7
190,NYJ,"Geno Smith",QB,16,26.01,9,0%,64%,231.4,242,241,390.6,0.5
191,KC,"Harrison Butker",K,17,21.04,10,0%,0%,144.9,145,148,170.1,0.2
192,KC,"Emmett Johnson",RB,17,11.07,10,0%,0%,65.3,37,78,221.6,0.2
193,LVR,"Fernando Mendoza",QB,13,21.01,8,0%,0%,232.8,246,238,391.9,0
194,NO,"Charlie Smyth",K,17,24.09,11,0%,0%,143.5,,148,170.1,0
195,SF,"San Francisco 49ers",DEF,17,22.05,14,0%,0%,102,67,102,102,0
196,CLE,"Denzel Boston",WR,17,12.12,9,0%,0%,124.8,128,145,261.3,-0.1
197,TB,"Cade Otton",TE,17,18.07,9,0%,69%,156.8,140,163,217.3,-0.7
198,SEA,"Rashid Shaheed",WR,17,14.06,8,0%,82%,132.7,135,147,247.6,-0.7
199,CLE,"Deshaun Watson",QB,8,28.10,9,0%,9%,114.8,49,121,247.8,-0.7
200,UNS,"Joe Mixon",RB,17,20.02,18,-,67%,52.5,28,88,197,-0.7
201,UNS,"Keenan Allen",WR,17,24.04,18,-,94%,115.1,126,156,241.1,-0.9
202,KC,"Kansas City Chiefs",DEF,17,25.07,10,0%,0%,102.7,70,103,102.7,-1.1
203,PIT,"Chris Boswell",K,17,20.04,5,0%,0%,142.9,141,146,170.6,-1.3
204,ARI,"James Conner",RB,17,12.06,8,0%,88%,71.8,76,87,173.1,-1.5
205,LVR,"Mike Washington Jr.",RB,17,11.11,8,0%,0%,59.3,56,71,211.8,-1.6
206,CIN,"Samaje Perine",RB,17,28.07,10,0%,14%,74.4,68,88,166.3,-1.7
207,UNS,"Najee Harris",RB,17,19.12,18,-,27%,54.8,68,84,185.5,-1.7
208,CHI,"Chicago Bears",DEF,17,22.07,5,0%,0%,102.9,70,103,102.9,-1.8
209,NE,"Andres Borregales",K,17,18.12,14,0%,0%,141.8,147,146,168.1,-2
210,TB,"Sean Tucker",RB,17,15.08,9,0%,18%,64.6,47,70,200.1,-2.2
211,NYJ,"Braelon Allen",RB,17,15.02,9,0%,53%,64.5,77,68,203.7,-2.2
212,SEA,"Emanuel Wilson",RB,17,14.07,8,0%,0%,57,47,71,199.7,-2.4
213,CAR,"Jalen Coker",WR,17,12.02,14,0%,6%,130.2,129,145,241.6,-2.5
214,GB,"MarShawn Lloyd",RB,17,21.02,5,0%,88%,52.1,36,65,208.4,-2.8
215,SEA,"Jason Myers",K,17,15.11,8,0%,0%,142.3,161,145,167,-2.9
216,UNS,"Tyreek Hill",WR,10,14.02,18,-,41%,78.9,149,144,275.5,-2.9
217,ARI,"Trey Benson",RB,17,13.10,8,0%,45%,61.9,56,72,187.2,-2.9
218,DAL,"Jaydon Blue",RB,17,20.12,10,0%,29%,57.5,62,68,196.2,-3
219,KC,"Brashard Smith",RB,17,22.08,10,0%,23%,58.7,47,72,186.1,-3.1
220,DET,"Detroit Lions",DEF,17,23.09,8,0%,0%,102.3,71,102,102.3,-3.2
221,NYJ,"Isaiah Davis",RB,17,23.02,9,0%,0%,70,44,74,173.2,-3.2
222,BUF,"Ty Johnson",RB,17,29.09,7,0%,25%,69.9,69,82,152.2,-3.4
223,TB,"Chase McLaughlin",K,17,17.08,9,0%,0%,140.2,144,145,167.6,-3.6
224,UNS,"Nick Chubb",RB,17,32.10,18,-,61%,53.9,28,77,169.4,-3.7
225,TB,"Tampa Bay Buccaneers",DEF,17,28.02,9,0%,0%,97.4,68,97,97.4,-4
226,NYG,"New York Giants",DEF,17,22.09,14,0%,0%,101.3,86,101,101.3,-4.1
227,SEA,"George Holani",RB,17,21.08,8,0%,0%,43.8,24,55,137,0
228,JAC,"LeQuint Allen",RB,17,22.01,8,0%,17%,64.7,32,70,168.9,-4.1
229,PHI,"Philadelphia Eagles",DEF,17,17.03,9,0%,0%,101.2,76,101,101.2,-4.2
230,TEN,"Nicholas Singleton",RB,17,13.11,10,0%,0%,47.3,43,56,208.5,-4.2
231,MIN,"Will Reichard",K,17,18.03,6,0%,0%,139.9,141,143,168.5,-4.3
232,PHI,"Jake Elliott",K,17,24.08,9,0%,0%,140.2,136,145,164.7,-4.4
233,TEN,"Gunnar Helm",TE,17,16.04,10,0%,0%,144.8,121,154,221.8,-4.6
234,PIT,"Pat Freiermuth",TE,17,17.07,5,0%,46%,139.4,146,155,223,-4.7
235,UNS,"Austin Ekeler",RB,17,31.05,18,-,84%,51.5,33,69,171.7,-4.7
236,CLE,"Jerry Jeudy",WR,17,16.10,9,0%,55%,118.3,150,138,247.5,-4.8
237,UNS,"Kareem Hunt",RB,17,29.01,18,-,42%,51.5,24,74,158.3,-4.9
238,MIN,"Jauan Jennings",WR,17,13.06,6,0%,85%,116,147,132,257.1,-5.2
239,PIT,"Germie Bernard",WR,17,22.11,5,0%,0%,119.1,98,135,246.3,-5.5
240,LAC,"Tre Harris",WR,17,15.07,12,0%,49%,117.8,106,131,255.3,-5.6
241,UNS,"Antonio Gibson",RB,17,38.10,18,-,22%,48.2,4,74,148.2,-5.6
242,GB,"Christopher Brooks",RB,17,30.12,5,0%,0%,50.5,43,56,182.4,-5.6
243,BUF,"Tyler Bass",K,17,25.05,7,0%,0%,138.5,141,143,164.2,-5.9
244,WAS,"Jake Moody",K,17,26.03,12,0%,0%,138.3,134,141,167.9,-5.9
245,SF,"Jordan James",RB,17,18.02,14,0%,0%,47.9,41,53,186.2,-5.9
246,SEA,"AJ Barner",TE,17,14.04,8,0%,36%,143.1,123,148,225.8,-6.3
247,PHI,"Tank Bigsby",RB,17,15.10,9,0%,17%,47.6,72,50,185.6,-6.3
248,LAC,"Kimani Vidal",RB,17,16.03,12,0%,0%,54.4,49,59,159.7,-6.5
249,LVR,"Tre Tucker",WR,17,20.10,8,0%,0%,119.6,103,137,233.6,-6.6
250,CLE,"Cleveland Browns",DEF,17,18.11,9,0%,0%,95.4,68,95,95.4,-6.6
251,SF,"Kaelon Black",RB,17,23.11,14,0%,0%,44.5,,49,183,-6.6
252,MIA,"Jaylen Wright",RB,17,18.09,12,0%,7%,45.2,48,53,172.9,-6.8
253,NYJ,"Adonai Mitchell",WR,17,20.08,9,0%,12%,118.1,79,128,250.2,-7
254,IND,"Indianapolis Colts",DEF,17,26.02,11,0%,0%,93.7,68,94,93.7,-7.2
255,ATL,"Michael Penix Jr.",QB,9,26.06,5,0%,20%,124.8,167,127,230.5,-7.4
256,NO,"Kendre Miller",RB,17,30.02,11,0%,43%,39.4,37,49,172.6,-7.6
257,ATL,"Tua Tagovailoa",QB,8,25.12,5,0%,28%,109.7,140,113,212.7,-7.7
258,TEN,"Tennessee Titans",DEF,17,27.07,10,0%,0%,94.9,62,95,94.9,-7.9
259,NO,"New Orleans Saints",DEF,17,24.10,11,0%,0%,91.6,57,92,91.6,-8.1
260,NYG,"Jason Sanders",K,17,27.11,14,0%,0%,136.6,131,139,164.5,-8.4
261,MIA,"Ollie Gordon II",RB,17,19.09,12,0%,0%,41.7,36,44,166.7,-8.5
262,DAL,"Dallas Cowboys",DEF,17,26.04,10,0%,0%,93.1,68,93,93.1,-8.6
263,CLE,"Shedeur Sanders",QB,7,24.12,9,0%,18%,90.3,98,95,190.1,-8.9
264,NYG,"Devin Singletary",RB,17,30.06,14,0%,34%,44.2,32,49,147.4,-9
265,MIN,"Demond Claiborne",RB,17,19.05,6,0%,0%,36.6,30,43,163.6,-9
266,BAL,"Adam Randall",RB,17,18.06,7,0%,0%,36.8,,43,160.4,-9.1
267,BUF,"Ray Davis",RB,17,17.01,7,0%,15%,33,63,44,158.5,-9.4
268,WAS,"Jerome Ford",RB,17,31.09,12,0%,46%,38.1,57,46,146.9,-9.6
269,CAR,"Ryan Fitzgerald",K,17,27.01,14,0%,0%,133.8,,139,161.7,-9.7
270,UNS,"Alexander Mattison",RB,17,46.02,18,-,8%,43.9,,52,129.2,-9.8
271,CIN,"Evan McPherson",K,17,19.08,10,0%,0%,135,149,136,166.4,-9.9
272,IND,"DJ Giddens",RB,17,25.02,11,0%,13%,38.7,37,43,146.2,-10
273,SF,"Kyle Juszczyk",RB,17,65.01,14,0%,0%,50.2,32,56,111.5,-10.1
274,UNS,"Miles Sanders",RB,17,45.03,18,-,66%,44.4,74,50,124.7,-10.2
275,ARI,"Arizona Cardinals",DEF,17,29.08,8,0%,0%,93.1,64,93,93.1,-10.3
276,LVR,"Jalen Nailor",WR,17,19.04,8,0%,0%,111.4,94,127,231.6,-10.7
277,NYG,"Darnell Mooney",WR,17,26.07,14,0%,94%,112.9,103,125,232.1,-10.8
278,PIT,"Kaleb Johnson",RB,17,19.06,5,0%,9%,32.2,50,37,149.9,-10.8
279,WAS,"Antonio Williams",WR,17,22.12,12,0%,0%,107.6,116,117,250.3,-11.1
280,HOU,"Jaylin Noel",WR,17,25.06,6,0%,11%,108.2,56,120,242.8,-11.2
281,CAR,"Carolina Panthers",DEF,17,26.08,14,0%,0%,91.1,73,91,91.1,-11.2
282,WAS,"Jeremy McNichols",RB,17,34.11,12,0%,0%,40.1,16,45,122.5,-11.2
283,MIA,"Miami Dolphins",DEF,17,28.09,12,0%,0%,90.8,59,91,90.8,-11.4
284,ARI,"Carson Beck",QB,4,33.05,8,0%,0%,53.1,,55,112.2,-11.6
285,SEA,"Cooper Kupp",WR,17,23.07,8,0%,94%,109.1,122,121,236.4,-11.7
