Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
130,GB,"Matthew Golden",WR,17,16.02,5,0%,91%,112.5,127,129,218.6,12.5
131,ATL,"Tua Tagovailoa",QB,8,13.01,5,0%,28%,109.7,140,113,212.7,12.5
132,BUF,"Khalil Shakir",WR,17,12.07,7,0%,88%,120.6,129,137,191.8,11.9
133,TEN,"Calvin Ridley",WR,17,17.12,10,0%,65%,113,116,131,205,11.6
134,CLE,"Shedeur Sanders",QB,7,14.06,9,0%,18%,90.3,98,95,190.1,11.6
135,UNS,"Deebo Samuel",WR,17,15.05,18,-,95%,108.8,118,136,197.2,11.5
136,TB,"Jalen McMillan",WR,17,16.10,9,0%,52%,108.5,81,126,214.4,11.1
137,BAL,"Mark Andrews",TE,17,10.08,7,0%,49%,122.8,120,133,177.5,10.8
138,LAC,"Cameron Dicker",K,17,61.01,12,0%,6%,150.9,160,170,181.4,10.4
139,NYJ,"Omar Cooper Jr.",WR,17,15.06,9,0%,0%,110.2,108,121,215.5,10.3
140,DEN,"RJ Harvey",RB,17,6.08,12,0%,41%,124.6,143,145,241.9,10.1
141,BUF,"Dalton Kincaid",TE,17,9.06,7,0%,77%,121.9,121,131,176.9,9.9
142,SEA,"Rashid Shaheed",WR,17,16.06,8,0%,82%,110.5,113,123,206.2,9.7
143,ARI,"Carson Beck",QB,4,22.11,8,0%,0%,53.1,,55,112.2,9.6
144,DEN,"Denver Broncos",DEF,17,24.10,12,0%,0%,119.8,88,120,119.8,9.3
145,CLE,"Denzel Boston",WR,17,15.09,9,0%,0%,102.3,104,119,214.2,9.2
146,CHI,"Kyle Monangai",RB,17,9.04,5,0%,0%,126.5,122,139,239.1,8.9
147,MIN,"Jordan Mason",RB,17,13.11,6,0%,88%,120.8,120,142,235.9,8.8
148,NE,"New England Patriots",DEF,17,23.10,14,0%,0%,114.7,77,115,114.7,8.4
149,LVR,"Kirk Cousins",QB,4,20.08,8,0%,9%,52,31,53,106.2,8.4
150,HOU,"Houston Texans",DEF,17,24.07,6,0%,0%,117.4,88,117,117.4,8.3
151,SEA,"Seattle Seahawks",DEF,17,23.04,8,0%,0%,117.4,77,117,117.4,8.3
152,LAR,"Blake Corum",RB,17,9.12,8,0%,32%,122.1,114,129,250.6,7.7
153,CAR,"Jalen Coker",WR,17,13.09,14,0%,6%,106.5,104,118,197.6,7.6
154,WAS,"Rachaad White",RB,17,15.01,12,0%,86%,104.2,128,141,235.1,7.5
155,UNS,"Tyreek Hill",WR,10,15.03,18,-,41%,64.7,122,118,225.8,7.5
156,HOU,"Ka'imi Fairbairn",K,17,303.02,6,0%,0%,148.6,157,160,177.4,6.9
157,PHI,"Dallas Goedert",TE,17,10.06,9,0%,70%,117.9,117,128,166.6,6.9
158,UNS,"Keenan Allen",WR,17,21.02,18,-,94%,91.2,102,123,191,6.9
159,DAL,"Jake Ferguson",TE,17,10.09,10,0%,83%,125.1,123,129,156.1,6.3
160,LAC,"Oronde Gadsden II",TE,17,9.10,12,0%,0%,114.2,112,124,172.5,6.2
161,MIN,"Jauan Jennings",WR,17,12.09,6,0%,85%,95.2,120,108,210.9,6.1
162,GB,"Green Bay Packers",DEF,17,24.08,5,0%,0%,113.4,80,113,113.4,6
163,NE,"Hunter Henry",TE,17,10.05,14,0%,64%,117.3,119,128,161.9,5.9
164,PIT,"Germie Bernard",WR,17,19.11,5,0%,0%,97.4,78,111,201.4,5.8
165,CLE,"Jerry Jeudy",WR,17,16.03,9,0%,55%,95.8,122,111,200.4,5.7
166,LAC,"Tre Harris",WR,17,17.11,12,0%,49%,96.4,87,107,208.8,5.7
167,LVR,"Tre Tucker",WR,17,18.09,8,0%,0%,98.9,85,114,193.2,5.6
