Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
433,DAL,"DJ Rogers",TE,16,,10,0%,0%,44.7,,53,147.2,-48.2
434,DET,"Greg Dortch",WR,17,36.11,8,0%,14%,44.3,58,48,152.3,-48.8
435,DEN,"Justin Joly",TE,17,34.08,12,0%,0%,39.2,40,46,158.9,-49
436,CLE,"Cedric Tillman",WR,17,70.03,9,0%,79%,47.5,79,50,142.5,-49.2
437,WAS,"Van Jefferson",WR,17,63.05,12,0%,22%,42.8,54,48,147.6,-49.6
438,SF,"Demarcus Robinson",WR,17,32.06,14,0%,0%,41.2,38,48,140.5,-50.5
439,DAL,"Jonathan Mingo",WR,17,35.01,10,0%,8%,37.4,11,43,150.5,-51
440,HOU,"Cade Stover",TE,17,49.03,6,0%,76%,42.4,32,47,141.3,-51.1
441,ARI,"Elijah Higgins",TE,17,50.08,8,0%,0%,45.7,39,48,134.8,-51.4
442,JAC,"Nate Boerkircher",TE,17,,8,0%,0%,38.9,,46,144,-51.4
443,CAR,"Tommy Tremble",TE,17,57.10,14,0%,0%,40.4,41,45,144.5,-51.4
444,GB,"Luke Musgrave",TE,17,22.09,5,0%,12%,38.2,46,40,154.7,-51.6
445,CAR,"John Metchie",WR,17,64.12,14,0%,8%,41.7,27,43,141.9,-51.8
446,ARI,"Reggie Virgil",WR,17,,8,0%,0%,34,,40,150.2,-52.3
447,UNS,"Will Dissly",TE,17,53.04,18,-,6%,42.2,27,45,136.2,-52.4
448,PIT,"Roman Wilson",WR,17,36.10,5,0%,9%,38.6,54,43,137.1,-52.8
449,LAC,"KeAndre Lambert-Smith",WR,17,40.02,12,0%,0%,33.7,16,37,149.6,-53
450,CIN,"Colbie Young",WR,17,,10,0%,0%,31.8,,37,149.6,-53.2
451,LVR,"Dont'e Thornton Jr.",WR,17,38.01,8,0%,0%,33,47,37,146.6,-53.7
452,TEN,"Daniel Bellinger",TE,17,35.12,10,0%,30%,41.1,28,45,129.7,-53.8
453,JAC,"Tanner Koziol",TE,17,,8,0%,0%,31.2,,37,150.6,-54.1
454,KC,"Cyrus Allen",WR,17,,10,0%,0%,28.7,,34,151.9,-54.1
455,CIN,"Tanner Hudson",TE,17,51.09,10,0%,0%,38.6,16,43,128.5,-54.8
456,RK,"Eric McAlister",WR,17,62.08,18,-,0%,27.2,30,30,151.3,-55.3
457,MIN,"Tai Felton",WR,17,37.10,6,0%,0%,38.5,24,41,121.7,-55.5
458,CHI,"Sam Roush",TE,17,,5,0%,0%,36.4,,41,126.7,-55.9
459,SF,"Jordan Watkins",WR,17,71.11,14,0%,0%,27.5,6,31,146.5,-55.9
460,DAL,"Luke Schoonmaker",TE,17,35.08,10,0%,10%,34.7,33,37,127.9,-57.2
461,MIA,"Kevin Coleman Jr.",WR,17,,12,0%,0%,28.5,,32,132.8,-57.4
462,BAL,"Devontez Walker",WR,17,70.10,7,0%,6%,27.4,28,31,130.7,-57.9
463,SF,"Jake Tonges",TE,17,,14,0%,0%,41.2,,47,98.3,-58
464,BUF,"Jackson Hawes",TE,17,50.07,7,0%,0%,26,23,29,144.5,-58
465,HOU,"Marlin Klein",TE,17,,6,0%,0%,34.4,,39,117.3,-58.1
466,NYJ,"Arian Smith",WR,17,70.01,9,0%,9%,24.7,19,27,137.5,-58.2
467,JAC,"Josh Cameron",WR,17,31.07,8,0%,0%,25.6,40,29,130.8,-58.6
468,CIN,"Mitchell Tinsley",WR,17,70.09,10,0%,0%,24.2,22,27,134.3,-58.8
469,LAC,"Derius Davis",WR,17,62.02,12,0%,0%,29.1,8,31,122.4,-59
470,WAS,"Ben Sinnott",TE,17,49.01,12,0%,11%,33.6,34,36,117.8,-59.2
471,LAR,"Konata Mumpfield",WR,17,68.04,8,0%,0%,25,21,26,131.8,-59.2
472,NO,"Ja'Lynn Polk",WR,17,39.10,11,0%,36%,24.5,,31,122.4,-59.5
473,LVR,"Malik Benson",WR,17,,8,0%,0%,25.6,,30,120.6,-59.8
474,MIN,"Josh Oliver",TE,17,48.08,6,0%,6%,32.1,45,34,118.1,-60
475,TEN,"K.J. Osborn",WR,17,67.09,10,0%,13%,28.9,,35,98.5,-61
476,MIA,"Theo Wease Jr.",WR,17,71.07,12,0%,0%,21.1,68,25,124.1,-61.1
477,NYG,"Jalin Hyatt",WR,17,26.05,14,0%,27%,20.7,17,23,126.8,-61.2
478,DEN,"Adam Trautman",TE,17,58.07,12,0%,13%,31.3,32,39,97.8,-61.5
479,NYJ,"Isaiah Williams",WR,17,67.04,9,0%,0%,24.6,23,26,116.5,-61.6
480,DET,"Tyler Conklin",TE,17,34.10,8,0%,8%,32.3,26,34,105.4,-61.8
